Exporter Details,Country of Origin,Vessel Name,Voyage No,Port of Loading (POL),Port of Discharge (POD),Final Destination (Country),Product Code,Description of Goods,HS Code,Unit Quantity,Unit Type,Price (per unit),Currency
EXP-47070,Japan,Global Trader,VY-4358,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-55123,"Fresh or dried lemons ""Citrus limon, Citrus limonum"" and limes ""Citrus aurantifolia, Citrus latifolia""",80550,397,KG,72.83,JPY
EXP-95432,Italy,Blue Horizon,VY-6455,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-79182,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",20442,129,M3,492.65,EUR
EXP-22540,Russia,Sea Pioneer,VY-9646,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-83350,"Inulin syrup obtained directly by hydrolysis of inulin or oligofructoses, containing in the dry state > 50% by weight of fructose in free form or as sucrose",80310,423,TON,464.86,RUB
EXP-52206,United States,Blue Horizon,VY-6793,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-63306,Cheddar (excl. grated or powdered and for processing),4069021,328,KG,482.76,USD
EXP-76432,France,Sea Pioneer,VY-2851,"Main Port, France","Casa Port, Morocco",Morocco,PROD-89920,Fresh or chilled capers,17029075,57,TON,296.61,EUR
EXP-47719,Brazil,Sea Pioneer,VY-6904,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-16449,"Cotton-seed oil and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude and for manufacture of foodstuffs)",15122910,336,KG,155.27,BRL
EXP-42202,Belgium,Horizon Express,VY-3656,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-34429,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh, suitable for bouquets or ornamental purposes (excl. Christmas trees and conifer branches)",1022959,194,KG,32.65,EUR
EXP-52868,Italy,Atlantic Voyager,VY-6565,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-63468,"Frozen anchovies ""Engraulis spp.""",8111019,435,TON,46.7,EUR
EXP-87598,France,Blue Horizon,VY-9155,"Main Port, France","Casa Port, Morocco",Morocco,PROD-33278,"Spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, clove ""wholefruit"", clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriander, cumin and caraway, and juniper berries, ginger, saffron, turmeric ""curcuma"" and mixtures of various types of spices)",91099,173,TON,54.46,EUR
EXP-36815,Belgium,Ocean Explorer,VY-6157,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-72128,"Fresh or chilled legs and cuts thereof, of domestic geese, with bone in",2075461,391,TON,130.89,EUR
EXP-44101,China,Ocean Explorer,VY-7391,"Main Port, China","Casa Port, Morocco",Morocco,PROD-73924,"Animal products, n.e.s.; dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs and other aquatic invertebrates)",21039010,73,PCS,199.73,CNY
EXP-65782,Turkey,Neptune Carrier,VY-6044,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-10315,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excl. mushrooms of the genus ""Agaricus"")",200390,369,LITRE,88.87,TRY
EXP-38304,India,Ocean Explorer,VY-5417,"Main Port, India","Casa Port, Morocco",Morocco,PROD-77563,"Flour, meal and powder of sago or of roots or tubers of manioc, arrowroot, salep, sweet potatoes and similar roots and tubers with a high content of starch or inulin of heading 0714",110620,463,PCS,478.59,INR
EXP-23348,United Kingdom,Global Trader,VY-2781,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-32469,"Yautia ""Xanthosoma spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",7145000,317,LITRE,136.3,GBP
EXP-94793,Italy,Sea Pioneer,VY-6531,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-84882,"Glycerol, crude; glycerol waters and glycerol lyes",2074120,271,PCS,68.83,EUR
EXP-72728,Russia,Voyager Titan,VY-6044,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-57837,"High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)",15149990,362,TON,284.4,RUB
EXP-86922,India,Neptune Carrier,VY-1891,"Main Port, India","Casa Port, Morocco",Morocco,PROD-54071,"Cereal grains of wheat, not otherwise worked than kibbled",11042951,439,PCS,303.44,INR
EXP-29067,Italy,Neptune Carrier,VY-4995,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-46478,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",3061500,339,KG,35.88,EUR
EXP-84323,France,Horizon Express,VY-8013,"Main Port, France","Casa Port, Morocco",Morocco,PROD-29386,"Mixtures of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya, incl. mixtures containing >= 50% by weight of these fruits and coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, prepared or preserved, not containing added spirit or added sugar, in immediate packings of a net content of >= 4,5 kg but < 5 kg",20089794,179,TON,122.57,EUR
EXP-77481,United Kingdom,Sea Pioneer,VY-5214,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-49480,Groats and meal of cereals (excl. wheat and maize),110319,83,M3,388.21,GBP
EXP-32192,France,Neptune Carrier,VY-7391,"Main Port, France","Casa Port, Morocco",Morocco,PROD-54089,"Frozen fillets of redfish ""Sebastes marinus""",3048921,349,TON,342.11,EUR
EXP-91612,Spain,Atlantic Voyager,VY-2859,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-72575,"Cooked, prepared or preserved meat or meat offal of ducks, geese and guinea fowl of the species domesticus, containing >= 57% meat or offal of poultry (excl. sausages and similar products, finely homogenised preparations put up for retail sale as infant food or for dietetic purposes, in containers of a net weight of <= 250 g, preparations of liver and meat extracts)",16023929,40,TON,296.86,EUR
EXP-43230,United States,Horizon Express,VY-4695,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-93711,"Meat of swine, fresh, chilled or frozen",203,431,PCS,488.44,USD
EXP-90688,Belgium,Global Trader,VY-3277,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-19705,"Frozen, boneless meat of bovine animals",20230,335,M3,230.53,EUR
EXP-61375,Japan,Atlantic Voyager,VY-2307,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-89724,"Egg yolks (other than liquid), frozen or otherwise preserved, suitable for human consumption, whether or not containing added sugar or other sweetening matter (excl. dried)",60220,264,PCS,417.84,JPY
EXP-39668,China,Ocean Explorer,VY-8930,"Main Port, China","Casa Port, Morocco",Morocco,PROD-67871,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets, surimi, Alaska pollack ""Theragra chalcogramma"", cod, haddock, coalfish, hake ""Merluccius spp."" and blue whiting)",3049590,355,KG,183.3,CNY
EXP-45603,Japan,Pacific Challenger,VY-4322,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-24863,"03034985
                            


                        Frozen tunas of the genus ""Thunnus"" (excl. tunas for industrial processing or preservation and Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)",1604,186,PCS,322.41,JPY
EXP-46260,United Kingdom,Pacific Challenger,VY-1891,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-28535,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)",21019,172,LITRE,353.23,GBP
EXP-67163,South Korea,Global Trader,VY-9060,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-87270,"08135091
                            


                        Mixtures of edible and dried nuts, bananas, dates, pineapples, avocados, guavas, mangoes, mangosteens, citrus fruit and grapes, not containing plums or figs (excl. mixtures exclusively of nuts of heading 0801 and 0802)",802,161,LITRE,297.96,KRW
EXP-79468,Japan,Atlantic Voyager,VY-5417,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-83279,"Sugars in solid form, incl. invert sugar, and sugar and sugar syrup blends containing in the dry state 50% by weight of fructose, not containing added flavouring or colouring matter (excl. cane or beet sugar, chemically pure sucrose and maltose, lactose, maple sugar, glucose, fructose, maltodextrine, and syrups thereof, isoglucose, inulin syrup and caramel)",17029095,133,KG,193.93,JPY
EXP-45237,Belgium,Ocean Explorer,VY-7430,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-14067,"Shrimps of the genus Crangon, whether in shell or not, dried, salted, smoked or in brine, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. ""Crangon crangon"")",3069540,293,TON,312.57,EUR
EXP-69098,Spain,Voyager Titan,VY-8706,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-26518,"Fresh or dried kola nuts ""Cola spp."", whether or not shelled or peeled",8027000,463,KG,473.92,EUR
EXP-25830,Japan,Ocean Explorer,VY-4622,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-98488,Fresh or chilled edible offal of bovine animals,20093199,390,M3,64.9,JPY
EXP-36090,Spain,Voyager Titan,VY-7430,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-67377,"17019100
                            


                        Refined cane or beet sugar, containing added flavouring or colouring, in solid form",170113,477,M3,54.81,EUR
EXP-69154,India,Voyager Titan,VY-6529,"Main Port, India","Casa Port, Morocco",Morocco,PROD-51988,"Fresh or chilled jack and horse mackerel ""Trachurus spp."" ""(excl. Atlantic horse mackerel and Chilean jack mackerel)",3044100,109,LITRE,230.87,INR
EXP-68881,Japan,Blue Horizon,VY-8837,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-82746,"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)",1022929,53,LITRE,42.34,JPY
EXP-27059,Japan,Blue Horizon,VY-2859,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-77824,Fresh or chilled fish of the species Boreogadus saida,3025910,329,TON,398.3,JPY
EXP-61310,Netherlands,Sea Pioneer,VY-9658,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-98797,"Fruit and other edible parts of plants, prepared or preserved, containing added spirit, of an actual alcoholic strength of <= 11,85% mas (excl. with a sugar content of > 9% by weight, nuts, groundnuts and other seeds, pineapples, citrus fruits, pears, apricots, cherries, peaches, strawberries, cranberries, ginger, grapes, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya)",16055600,207,LITRE,276.44,EUR
EXP-22798,United Kingdom,Global Trader,VY-4990,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-83369,"Spermaceti, whether or not refined or coloured",4069073,301,M3,236.73,GBP
EXP-14824,Germany,Global Trader,VY-9823,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-99057,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",7099390,10,M3,20.16,EUR
EXP-15716,Spain,Atlantic Voyager,VY-6904,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-70218,"Beeswax and other insect waxes, crude",15219091,82,LITRE,348.56,EUR
EXP-56916,Belgium,Pacific Challenger,VY-3277,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-20582,"Frozen fillets of mackerel ""Scomber australasicus""",3048941,238,LITRE,268.21,EUR
EXP-71361,United States,Atlantic Voyager,VY-6052,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-98754,Maize (excl. seed for sowing),15029090,348,LITRE,403.89,USD
EXP-51491,Belgium,Atlantic Voyager,VY-2823,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-12763,Pellets of rye or barley,11032025,275,LITRE,294.35,EUR
EXP-21734,Brazil,Pacific Challenger,VY-6529,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-57072,"Nuts, fresh or dried, whether or not shelled or peeled (excl. coconuts, Brazil nuts, cashew nuts, almonds, hazelnuts, filberts, walnuts, chestnuts, pistachios, macadamia nuts, kola nuts, areca nuts, pine nuts and pecans)",8029990,197,KG,67.65,BRL
EXP-71096,Japan,Horizon Express,VY-2932,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-56767,"Fresh or chilled fillets of trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""",3044250,247,LITRE,67.9,JPY
EXP-85460,France,Maritime Legend,VY-2859,"Main Port, France","Casa Port, Morocco",Morocco,PROD-81172,"Fresh, chilled or frozen meat and edible meat offal of game (excl. rabbits, hares and pigs)",120740,356,KG,26.79,EUR
EXP-82702,India,Neptune Carrier,VY-6128,"Main Port, India","Casa Port, Morocco",Morocco,PROD-31847,"Fresh or chilled edible mushrooms and truffles (excl. Agaricus, Boletus, Cantharellus, shiitake, matsutake and Tuber spp.)",7095900,386,TON,326.43,INR
EXP-11450,France,Sea Pioneer,VY-2307,"Main Port, France","Casa Port, Morocco",Morocco,PROD-78044,"Frozen hams, shoulders and cuts thereof of swine, with bone in",20322,402,TON,365.06,EUR
EXP-22283,Italy,Atlantic Voyager,VY-7041,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-55834,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, value of > 30 € per 100 kg, containing added sugar (excl. containing spirit, mixtures, orange juice and grapefruit juice)",20093111,161,TON,223.57,EUR
EXP-48450,South Korea,Maritime Legend,VY-9823,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-58756,Mixtures of nuts or dried fruits,81350,381,TON,145.51,KRW
EXP-50182,China,Ocean Explorer,VY-3699,"Main Port, China","Casa Port, Morocco",Morocco,PROD-79718,Mustard flour and meal (excl. prepared),21033010,317,M3,267.06,CNY
EXP-10678,Germany,Sea Pioneer,VY-8880,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-59066,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > 2 kg or in liquid, paste, powder, granular or other bulk form, in containers or immediate packings of a content > 2 kg (excl. cocoa powder)",180620,468,KG,61.07,EUR
EXP-57720,Netherlands,Sea Pioneer,VY-6793,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-82903,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."" (excl. fillets)",11042904,485,M3,353.28,EUR
EXP-36712,South Korea,Blue Horizon,VY-2593,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-39715,"Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of different fats or oils (excl. fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, mixtures of olive oils and their fractions, and solid margarine)",151790,235,M3,213.84,KRW
EXP-43469,France,Horizon Express,VY-7557,"Main Port, France","Casa Port, Morocco",Morocco,PROD-85877,"White and red cabbages, fresh or chilled",7049010,6,PCS,75.02,EUR
EXP-28662,China,Maritime Legend,VY-7083,"Main Port, China","Casa Port, Morocco",Morocco,PROD-25450,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked (excl. subcutaneous)",2091090,313,PCS,280.81,CNY
EXP-22263,China,Horizon Express,VY-8013,"Main Port, China","Casa Port, Morocco",Morocco,PROD-37842,"Fresh or chilled southern hake ""Merluccius australis""",3025415,211,LITRE,214.11,CNY
EXP-34045,China,Atlantic Voyager,VY-7374,"Main Port, China","Casa Port, Morocco",Morocco,PROD-38986,"Butter of a fat content, by weight, of > 85% but <= 95% (excl. dehydrated butter and ghee)",902,355,TON,2.45,CNY
